"chr"	"start"	"end"	"name"
1	15160759	17422542	"1_1_1_1_1_0_1_0_0_1_1_1_0.3348"
1	21921041	23567341	"1_1_1_1_1_0_1_0_0_1_1_1_0.283"
1	98360381	98426698	"1_1_1_1_1_0_1_0_0_1_1_1_0.87"
1	99315980	102566923	"1_1_1_1_1_0_1_0_0_1_1_1_0.512"
1	128601413	132276744	"1_1_1_1_1_0_1_0_0_1_1_1_0.3073"
1	132369455	137606926	"1_1_1_1_1_0_1_0_0_1_1_1_0.4981"
1	138765019	139067793	"1_1_1_1_1_0_1_0_0_1_1_1_0.382"
1	139262852	140123614	"1_1_1_1_1_0_1_0_0_1_1_1_0.911"
1	141966316	143583679	"1_1_1_1_1_0_1_0_0_1_1_1_0.1278"
1	143950814	145513870	"1_1_1_1_1_0_1_0_0_1_1_1_0.1035"
1	165214655	168469070	"1_1_1_1_1_0_1_0_0_1_1_1_0.3011"
1	169078851	170041068	"1_1_1_1_1_0_1_0_0_1_1_1_0.797"
1	170194498	176044710	"1_1_1_1_1_0_1_0_0_1_1_1_0.3945"
1	176063476	177038679	"1_1_1_1_1_0_1_0_0_1_1_1_0.1070"
1	177105369	177395264	"1_1_1_1_1_0_1_0_0_1_1_1_0.299"
1	177511937	184474684	"1_1_1_1_1_0_1_0_0_1_1_1_0.1934"
1	193699573	194075168	"1_1_1_1_1_0_1_0_0_1_1_1_0.449"
1	195970720	197993994	"1_1_1_1_1_0_1_0_0_1_1_1_0.2247"
2	4799429	4858314	"1_1_1_1_1_0_1_0_0_1_1_1_0.39"
2	92063760	92090065	"1_1_1_1_1_0_1_0_0_1_1_1_0.48"
2	184725945	184781830	"1_1_1_1_1_0_1_0_0_1_1_1_0.31"
2	223047161	223130500	"1_1_1_1_1_0_1_0_0_1_1_1_0.33"
2	256322026	258056456	"1_1_1_1_1_0_1_0_0_1_1_1_0.946"
2	259014280	259915117	"1_1_1_1_1_0_1_0_0_1_1_1_0.1026"
2	260173434	266348315	"1_1_1_1_1_0_1_0_0_1_1_1_0.6194"
3	16348193	16727346	"1_1_1_1_1_0_1_0_0_1_1_1_0.708"
3	17097175	20763345	"1_1_1_1_1_0_1_0_0_1_1_1_0.3717"
3	56664410	56795723	"1_1_1_1_1_0_1_0_0_1_1_1_0.175"
3	56876807	58388847	"1_1_1_1_1_0_1_0_0_1_1_1_0.654"
3	61750148	61839643	"1_1_1_1_1_0_1_0_0_1_1_1_0.22"
3	65064568	66411747	"1_1_1_1_1_0_1_0_0_1_1_1_0.1288"
3	66469851	76466778	"1_1_1_1_1_0_1_0_0_1_1_1_0.10383"
3	76562768	104248354	"1_1_1_1_1_0_1_0_0_1_1_1_0.27651"
3	105420420	108724002	"1_1_1_1_1_0_1_0_0_1_1_1_0.2524"
3	116539222	117295623	"1_1_1_1_1_0_1_0_0_1_1_1_0.849"
3	117470362	118664981	"1_1_1_1_1_0_1_0_0_1_1_1_0.716"
3	118850949	120119276	"1_1_1_1_1_0_1_0_0_1_1_1_0.1173"
3	120232788	122877899	"1_1_1_1_1_0_1_0_0_1_1_1_0.2726"
3	123593377	124349897	"1_1_1_1_1_0_1_0_0_1_1_1_0.406"
3	124408498	125480088	"1_1_1_1_1_0_1_0_0_1_1_1_0.391"
3	125513761	125856578	"1_1_1_1_1_0_1_0_0_1_1_1_0.108"
3	137009968	141785247	"1_1_1_1_1_0_1_0_0_1_1_1_0.4071"
3	141961576	142632943	"1_1_1_1_1_0_1_0_0_1_1_1_0.365"
3	157106697	157601574	"1_1_1_1_1_0_1_0_0_1_1_1_0.519"
3	157858921	158587250	"1_1_1_1_1_0_1_0_0_1_1_1_0.382"
3	164887041	164897549	"1_1_1_1_1_0_1_0_0_1_1_1_0.30"
3	175403345	177387531	"1_1_1_1_1_0_1_0_0_1_1_1_0.751"
4	21988313	22030750	"1_1_1_1_1_0_1_0_0_1_1_1_0.41"
4	32665138	34974973	"1_1_1_1_1_0_1_0_0_1_1_1_0.1441"
4	47526862	50705426	"1_1_1_1_1_0_1_0_0_1_1_1_0.3922"
4	50762582	51865791	"1_1_1_1_1_0_1_0_0_1_1_1_0.498"
4	52085552	53022501	"1_1_1_1_1_0_1_0_0_1_1_1_0.1349"
4	64332161	65504627	"1_1_1_1_1_0_1_0_0_1_1_1_0.1266"
4	65726451	69285926	"1_1_1_1_1_0_1_0_0_1_1_1_0.2531"
4	70850058	73345682	"1_1_1_1_1_0_1_0_0_1_1_1_0.2666"
